store_id,chain,store_name,sale_start,sale_end,product_name,specification,price_ex_tax_yen,price_in_tax_yen,tax_rate,promotion,category,availability_rule,scope_level,source_type,validation_status,source_url,source_image,source_fingerprint,verification_note
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-12,スマイルライフ 生切り餅,1kg,748,807,0.08,,食品,,verified_snapshot,current_flyer_daily_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,e62f32dd059cff1ca9f5ad730a6332baea6137cea78812572e40dbca5426b609,current-Life-daily-panel-2026-09-12-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-12,伊藤園 ビタミン野菜／1日分の野菜,各1ケース（200ml×12本）,798,861,0.08,,飲料,,verified_snapshot,current_flyer_daily_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,e62f32dd059cff1ca9f5ad730a6332baea6137cea78812572e40dbca5426b609,current-Life-daily-panel-2026-09-12-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-12,大王製紙 エリエール トイレットティシュー（シングル／ダブル）,各12ロール,598,657,0.1,,日用品,,verified_snapshot,current_flyer_daily_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,e62f32dd059cff1ca9f5ad730a6332baea6137cea78812572e40dbca5426b609,current-Life-daily-panel-2026-09-12-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-12,レタス,1コ,158,170,0.08,,青果,,verified_snapshot,current_flyer_daily_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,e62f32dd059cff1ca9f5ad730a6332baea6137cea78812572e40dbca5426b609,current-Life-daily-panel-2026-09-12-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-12,ハウス バーモントカレー／完熟トマトのハヤシライスソース,各1個,199,214,0.08,,加工食品,,verified_snapshot,current_flyer_daily_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,e62f32dd059cff1ca9f5ad730a6332baea6137cea78812572e40dbca5426b609,current-Life-daily-panel-2026-09-12-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-12,デルモンテ トマトケチャップ／リコピンリッチ トマトケチャップ,各1本,199,214,0.08,,調味料,,verified_snapshot,current_flyer_daily_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,e62f32dd059cff1ca9f5ad730a6332baea6137cea78812572e40dbca5426b609,current-Life-daily-panel-2026-09-12-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-12,紀文 だしおでん,390g×2,438,473,0.08,,日配食品,,verified_snapshot,current_flyer_daily_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,e62f32dd059cff1ca9f5ad730a6332baea6137cea78812572e40dbca5426b609,current-Life-daily-panel-2026-09-12-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-12,日清製粉ウェルナ もちっと生パスタ クリーミーボロネーゼ,1人前,158,170,0.08,,冷凍食品,,verified_snapshot,current_flyer_daily_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,e62f32dd059cff1ca9f5ad730a6332baea6137cea78812572e40dbca5426b609,current-Life-daily-panel-2026-09-12-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-12,中国産 うなぎ長焼,1尾,880,950,0.08,,鮮魚,,verified_snapshot,current_flyer_daily_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,e62f32dd059cff1ca9f5ad730a6332baea6137cea78812572e40dbca5426b609,current-Life-daily-panel-2026-09-12-visual-check
life_hikawadai,ライフ,氷川台店,2026-09-12,2026-09-12,P&G ファブリーズ W除菌 詰替,320ml,278,305,0.1,,日用品,,verified_snapshot,current_flyer_daily_visual_verified,verified,https://tokubai.co.jp/transit/rail_lines/station_groups/5171/leaflet,e30a242f248b50e5f0f3.jpg|abb0949e11a5f2d78ca6.jpg,e62f32dd059cff1ca9f5ad730a6332baea6137cea78812572e40dbca5426b609,current-Life-daily-panel-2026-09-12-visual-check
